ATENCIONES,CONSULTAS,SERVICIOS,ANIO,MES,DIA,CLINICA,FUENTE,REDENCION,%REDENCION
1,1,0,2015,9,10,ORIENTE,EHT,0,0
1,1,0,2015,9,10,PINOS 1,EHT,0,0
21,20,1,2015,9,11,ORIENTE,EHT,0,0
21,21,0,2015,9,11,PINOS 1,EHT,0,0
25,19,6,2015,9,12,PINOS 1,EHT,0,0
7,5,2,2015,9,13,PINOS 1,EHT,0,0
44,36,8,2015,9,14,PINOS 1,EHT,0,0
29,29,0,2015,9,14,ORIENTE,EHT,0,0
16,14,2,2015,9,15,ORIENTE,EHT,0,0
9,8,1,2015,9,15,PINOS 1,EHT,0,0
23,23,0,2015,9,17,ORIENTE,EHT,0,0
8,8,0,2015,9,18,ORIENTE,EHT,0,0
4,4,0,2015,9,19,ORIENTE,EHT,0,0
20,20,0,2015,9,21,ORIENTE,EHT,0,0
13,12,1,2015,9,21,PINOS 1,EHT,0,0
29,29,0,2015,9,22,ORIENTE,EHT,0,0
2,2,0,2015,9,22,PINOS 1,EHT,0,0
21,12,9,2015,9,23,PINOS 1,EHT,0,0
11,11,0,2015,9,23,ORIENTE,EHT,0,0
15,15,0,2015,9,24,ORIENTE,EHT,0,0
1,1,0,2015,9,24,PINOS 1,EHT,0,0
2,2,0,2015,9,25,ORIENTE,EHT,0,0
10,10,0,2015,9,26,ORIENTE,EHT,0,0
20,20,0,2015,9,28,ORIENTE,EHT,0,0
14,8,6,2015,9,28,PINOS 1,EHT,0,0
10,8,2,2015,9,29,PINOS 1,EHT,0,0
6,6,0,2015,9,29,ORIENTE,EHT,0,0
5,3,2,2015,9,30,PINOS 1,EHT,0,0
1,1,0,2015,9,30,ORIENTE,EHT,0,0
7,5,2,2015,10,1,PINOS 1,EHT,0,0
4,4,0,2015,10,1,ORIENTE,EHT,0,0
6,4,2,2015,10,2,PINOS 1,EHT,0,0
7,5,2,2015,10,3,PINOS 1,EHT,0,0
6,6,0,2015,10,5,ORIENTE,EHT,0,0
4,2,2,2015,10,5,PINOS 1,EHT,0,0
17,11,6,2015,10,6,PINOS 1,EHT,0,0
4,4,0,2015,10,6,ORIENTE,EHT,0,0
3,3,0,2015,10,7,ORIENTE,EHT,0,0
2,1,1,2015,10,7,PINOS 1,EHT,0,0
9,8,1,2015,10,8,PINOS 1,EHT,0,0
2,2,0,2015,10,8,ORIENTE,EHT,0,0
2,2,0,2015,10,9,ORIENTE,EHT,0,0
9,6,3,2015,10,10,PINOS 1,EHT,0,0
3,3,0,2015,10,10,ORIENTE,EHT,0,0
1,0,1,2015,10,12,PINOS 1,EHT,0,0
17,11,6,2015,10,13,PINOS 1,EHT,0,0
2,2,0,2015,10,13,ORIENTE,EHT,0,0
